feature,flutter_file,method,endpoint,path_parameters,query_parameters,request_body,success_status,response_shape,handled_errors,authentication,pagination,media,realtime,legacy_route_file,legacy_controller,legacy_service,legacy_models,classification,confidence,notes,authoritative_owner,legacy_prisma_operations,required_background_process,migration_risk,evidence
auth_bridge,lib/core/auth/auth_controller.dart,GET,/api/v1/auth/me,none,none,none,200,body.user or body.data or raw body,409 (identity conflict),required,none,no,no,modules/auth/auth.routes.ts,auth.controller.getProfile,UNKNOWN,UserAuth;UserCentralAuthLink;UserProfile,KEEP_COMPATIBLE,CONFIRMED,Only Furtail-API-owned step in the auth flow; JIT-provisions local user from Central Auth identity,NEW_API_OWNS,UserAuth;UserCentralAuthLink;UserProfile,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
profile,lib/features/profile/data/profile_service.dart,GET,/api/v1/user/me,none,none,none,200 (404 fallback),data.*,404,required,none,no,no,modules/profile/profile.routes.ts,profile.controller.getMyProfile,UNKNOWN,UserProfile,KEEP_COMPATIBLE,CONFIRMED,Hardcoded literal not via ApiEndpoints class,NEW_API_OWNS,UserProfile,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
profile,lib/features/profile/data/profile_service.dart,GET,/api/v1/user/profile,none,none,none,200,data.*,none,required,none,no,no,modules/profile/profile.routes.ts,profile.controller,UNKNOWN,UserProfile,KEEP_COMPATIBLE,CONFIRMED,404 fallback path for /user/me,NEW_API_OWNS,UserProfile,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
profile,lib/features/profile/data/profile_service.dart,PATCH,/api/v1/user/me,none,none,displayName;username;bio;visibility;showEmail;showPhone;avatarMediaId;coverMediaId;email;phone,200,data.*,none,required,none,no,no,modules/profile/profile.routes.ts,profile.controller.updateMyProfile,UNKNOWN,UserProfile,KEEP_COMPATIBLE,CONFIRMED,Client caches avatar/cover cache-bust timestamps locally after success,NEW_API_OWNS,UserProfile,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
profile,lib/features/profile/data/profile_service.dart,POST,/api/v1/media/upload,none,none,multipart field: file,200,data.id,none,required,none,yes,no,modules/media/media.routes.ts,media.controller,UNKNOWN,Media;MediaVariant,KEEP_COMPATIBLE,CONFIRMED,Returns media id used as avatar/cover reference,NEW_API_OWNS,Media;MediaVariant,media processing worker (transcode/thumbnail) if async,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
profile,lib/core/network/api_endpoints.dart:34-35,GET/PATCH,${ApiConfig.userApi}/profile,none,none,unknown,unknown,unknown,unknown,required,none,no,no,unknown,unknown,unknown,unknown,LEGACY_UNUSED,CONFIRMED,Defined constant with no confirmed caller; live profile calls bypass this via hardcoded /user/me literal instead,LEGACY_API_TEMPORARILY_OWNS,none identified,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
profile,lib/services/social_service.dart,GET,/api/v1/user/{userId},userId,none,none,200,full profile map,none,required,none,no,no,modules/profile/profile.routes.ts,profile.controller,UNKNOWN,UserProfile,KEEP_COMPATIBLE,CONFIRMED,"Resolved Step 5A: legacy route confirmed at profile.routes.ts (GET /:id and GET /by-username/:username), both gated by the standard `auth` middleware (JWT), not optionalAuth -- despite being ""visitor"" lookups they require authentication.",NEW_API_OWNS,UserProfile,none,LOW,"furtail_api/src/api/v1/modules/profile/profile.routes.ts:15,18 (GET /by-username/:username, GET /:id, both `auth` middleware); furtail_app lib/services/social_service.dart:34-44"
profile,lib/services/social_service.dart,GET,/api/v1/user/by-username/{username},username,none,none,200,full profile map,none,required,none,no,no,modules/profile/profile.routes.ts,profile.controller,UNKNOWN,UserProfile,KEEP_COMPATIBLE,CONFIRMED,"Resolved Step 5A: legacy route confirmed at profile.routes.ts (GET /:id and GET /by-username/:username), both gated by the standard `auth` middleware (JWT), not optionalAuth -- despite being ""visitor"" lookups they require authentication.",NEW_API_OWNS,UserProfile,none,LOW,"furtail_api/src/api/v1/modules/profile/profile.routes.ts:15,18 (GET /by-username/:username, GET /:id, both `auth` middleware); furtail_app lib/services/social_service.dart:34-44"
profile,lib/services/social_service.dart,GET,/api/v1/social/status/{userId},userId,none,none,200,data.isFollowing;isLiked;isFriend;outgoingRequestId;incomingRequestId,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFollow;UserProfileLike;UserFriendRequest;UserFriend,KEEP_COMPATIBLE,CONFIRMED,Used by VisitorProfileController.load,NEW_API_OWNS,UserFollow;UserProfileLike;UserFriendRequest;UserFriend,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
current_user_cache,lib/core/providers/current_user_provider.dart,none,none,none,none,none,none,none,none,none,none,no,no,n/a,n/a,n/a,n/a,KEEP_COMPATIBLE,CONFIRMED,Local SharedPreferences cache only; not a network call itself,NEW_API_OWNS,n/a,none,LOW,Carried forward unchanged from Step 3 (03-endpoint-matrix.csv); not part of the Step 5A PARTIAL/UNKNOWN resolution scope.
