feature,flutter_file,method,endpoint,path_parameters,query_parameters,request_body,success_status,response_shape,handled_errors,authentication,pagination,media,realtime,legacy_route_file,legacy_controller,legacy_service,legacy_models,classification,confidence,notes
auth_bridge,lib/core/auth/auth_controller.dart,GET,/api/v1/auth/me,none,none,none,200,"body.user or body.data or raw body",409 (identity conflict),required,none,no,no,modules/auth/auth.routes.ts,auth.controller.getProfile,UNKNOWN,"UserAuth;UserCentralAuthLink;UserProfile",KEEP_COMPATIBLE,CONFIRMED,"Only Furtail-API-owned step in the auth flow; JIT-provisions local user from Central Auth identity"
profile,lib/features/profile/data/profile_service.dart,GET,/api/v1/user/me,none,none,none,200 (404 fallback),data.*,404,required,none,no,no,modules/profile/profile.routes.ts,profile.controller.getMyProfile,UNKNOWN,UserProfile,KEEP_COMPATIBLE,CONFIRMED,"Hardcoded literal not via ApiEndpoints class"
profile,lib/features/profile/data/profile_service.dart,GET,/api/v1/user/profile,none,none,none,200,data.*,none,required,none,no,no,modules/profile/profile.routes.ts,profile.controller,UNKNOWN,UserProfile,KEEP_COMPATIBLE,CONFIRMED,"404 fallback path for /user/me"
profile,lib/features/profile/data/profile_service.dart,PATCH,/api/v1/user/me,none,none,"displayName;username;bio;visibility;showEmail;showPhone;avatarMediaId;coverMediaId;email;phone",200,data.*,none,required,none,no,no,modules/profile/profile.routes.ts,profile.controller.updateMyProfile,UNKNOWN,UserProfile,KEEP_COMPATIBLE,CONFIRMED,"Client caches avatar/cover cache-bust timestamps locally after success"
profile,lib/features/profile/data/profile_service.dart,POST,/api/v1/media/upload,none,none,"multipart field: file",200,data.id,none,required,none,yes,no,modules/media/media.routes.ts,media.controller,UNKNOWN,"Media;MediaVariant",KEEP_COMPATIBLE,CONFIRMED,"Returns media id used as avatar/cover reference"
profile,lib/core/network/api_endpoints.dart:34-35,GET/PATCH,${ApiConfig.userApi}/profile,none,none,unknown,unknown,unknown,unknown,required,none,no,no,unknown,unknown,unknown,unknown,LEGACY_UNUSED,CONFIRMED,"Defined constant with no confirmed caller; live profile calls bypass this via hardcoded /user/me literal instead"
profile,lib/services/social_service.dart,GET,/api/v1/user/{userId},userId,none,none,200,"full profile map",none,required (implied),none,no,no,modules/profile/profile.routes.ts,profile.controller,UNKNOWN,UserProfile,KEEP_COMPATIBLE,PARTIAL,"Visitor profile by id; auth requirement not individually re-verified"
profile,lib/services/social_service.dart,GET,/api/v1/user/by-username/{username},username,none,none,200,"full profile map",none,required,none,no,no,modules/profile/profile.routes.ts,profile.controller,UNKNOWN,UserProfile,KEEP_COMPATIBLE,PARTIAL,"Visitor profile by username"
profile,lib/services/social_service.dart,GET,/api/v1/social/status/{userId},userId,none,none,200,"data.isFollowing;isLiked;isFriend;outgoingRequestId;incomingRequestId",none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,"UserFollow;UserProfileLike;UserFriendRequest;UserFriend",KEEP_COMPATIBLE,CONFIRMED,"Used by VisitorProfileController.load"
current_user_cache,lib/core/providers/current_user_provider.dart,none,none,none,none,none,none,none,none,none,none,no,no,n/a,n/a,n/a,n/a,KEEP_COMPATIBLE,CONFIRMED,"Local SharedPreferences cache only; not a network call itself"
follow,lib/services/social_service.dart,POST,/api/v1/social/follow/{userId},userId,none,{},200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFollow,KEEP_COMPATIBLE,CONFIRMED,"Called from visitor_profile_cubit.dart follow()"
follow,lib/services/social_service.dart,DELETE,/api/v1/social/follow/{userId},userId,none,none,200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFollow,KEEP_COMPATIBLE,CONFIRMED,"unfollow"
follow,lib/services/social_service.dart,POST,/api/v1/social/like/{userId},userId,none,{},200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserProfileLike,KEEP_COMPATIBLE,CONFIRMED,"Profile-level like distinct from post likes"
follow,lib/services/social_service.dart,DELETE,/api/v1/social/like/{userId},userId,none,none,200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserProfileLike,KEEP_COMPATIBLE,CONFIRMED,"unlike profile"
follow,lib/services/social_service.dart,POST,/api/v1/social/friend-request/{userId},userId,none,{},200,data.requestId,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFriendRequest,KEEP_COMPATIBLE,CONFIRMED,"Send friend request"
follow,lib/services/social_service.dart,POST,/api/v1/social/friend-request/{requestId}/accept,requestId,none,{},200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,"UserFriendRequest;UserFriend",KEEP_COMPATIBLE,CONFIRMED,"Path shape verified matching on both sides (requestId, not userId)"
follow,lib/services/social_service.dart,POST,/api/v1/social/friend-request/{requestId}/reject,requestId,none,{},200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFriendRequest,KEEP_COMPATIBLE,CONFIRMED,"Path shape verified matching"
follow,lib/services/social_service.dart,DELETE,/api/v1/social/friend-request/{requestId}/cancel,requestId,none,none,200,none,none,required,none,no,no,modules/social/social.routes.ts,social.controller,UNKNOWN,UserFriendRequest,KEEP_COMPATIBLE,CONFIRMED,"Path shape verified matching"
blocking,lib/features/settings/data/repositories/settings_repository.dart,none,none,none,none,none,none,"local SharedPreferences list",none,n/a,none,no,no,n/a,n/a,n/a,n/a,UNKNOWN,CONFIRMED,"No backend endpoint; blocking is purely client-local (key bpa_settings_blocked_users) on both current client and legacy backend"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/feed,none,limit,none,200,"posts list",none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,"Post;PostMedia;PostLike;PostComment",KEEP_COMPATIBLE,CONFIRMED,"Home feed"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/videos,none,"limit;page;cursor;search;category;sort;duration;followingOnly",none,200,"list",none,required,"cursor+page hybrid",no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,"Post;PostMedia",KEEP_COMPATIBLE,CONFIRMED,"Reels/video feed"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/user/{userId},userId,limit,none,200,"list",none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post,KEEP_COMPATIBLE,CONFIRMED,"User's post feed"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/user/{userId}/photos,userId,limit,none,200,"list",none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,"Post;PostMedia",KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/user/{userId}/videos,userId,limit,none,200,"list",none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,"Post;PostMedia",KEEP_COMPATIBLE,PARTIAL,"Caller not individually re-verified; endpoint defined in ApiEndpoints"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/{postId},postId,none,none,200,post,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post,KEEP_COMPATIBLE,CONFIRMED,"Post detail"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts,none,none,"content;media ids;tagged pets etc.",200/201,"created post id",none,required,n/a,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,"Post;PostMedia;PostTaggedPet",KEEP_COMPATIBLE,CONFIRMED,"Used by post_upload_manager.dart for background create/retry"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,PATCH,/api/v1/posts/{postId},postId,none,fields,200,"updated post",none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post,KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,DELETE,/api/v1/posts/{postId},postId,none,none,200/204,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,Post,KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts/{postId}/like,postId,none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostLike,KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,DELETE,/api/v1/posts/{postId}/like,postId,none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostLike,KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/{postId}/comments,postId,limit,none,200,"comments list",none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostComment,KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts/{postId}/comments,postId,none,text,200/201,comment,none,required,n/a,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostComment,KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,PATCH,/api/v1/posts/{postId}/comments/{commentId},"postId;commentId",none,text,200,comment,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostComment,KEEP_REDESIGN_INTERNALS,PARTIAL,"furtail_api posts.routes.ts appears to expose only nested like/reply sub-routes under commentId, not confirmed standalone edit route; needs controller-level confirmation"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,DELETE,/api/v1/posts/{postId}/comments/{commentId},"postId;commentId",none,none,200/204,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostComment,KEEP_REDESIGN_INTERNALS,PARTIAL,"Same as above -- standalone delete-by-id route not confirmed present in furtail_api; PARTIAL gap"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts/{postId}/comments/{commentId}/like,"postId;commentId",none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostCommentLike,KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,DELETE,/api/v1/posts/{postId}/comments/{commentId}/like,"postId;commentId",none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostCommentLike,KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts/{postId}/comments/{commentId}/replies,"postId;commentId",none,text,200/201,reply,none,required,n/a,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostComment,KEEP_COMPATIBLE,CONFIRMED,"Replies modeled as PostComment with parent reference"
posts,lib/features/posts/presentation/widgets/post_action_sheet.dart:91,POST,/api/v1/posts/{postId}/share,postId,none,none,200,"data (shareCount)",none,required,n/a,no,no,none,none,none,none,LEGACY_UNUSED,CONFIRMED,"CONFIRMED GAP: no matching route found in furtail_api posts.routes.ts; live client call site confirmed"
posts,lib/features/posts/presentation/screens/reels_player_screen.dart:409,POST,/api/v1/posts/{postId}/view,postId,none,none,200,"data (viewCount)",none,required,n/a,no,no,none,none,none,none,LEGACY_UNUSED,CONFIRMED,"CONFIRMED GAP: no matching route found in furtail_api posts.routes.ts; live client call site confirmed"
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,POST,/api/v1/posts/{postId}/bookmark,postId,none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostBookmark,KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,DELETE,/api/v1/posts/{postId}/bookmark,postId,none,none,200,none,none,required,none,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostBookmark,KEEP_COMPATIBLE,CONFIRMED,none
posts,lib/features/posts/data/datasources/posts_remote_ds.dart,GET,/api/v1/posts/bookmarked,none,limit,none,200,list,none,required,limit-only,no,no,modules/posts/posts.routes.ts,posts.controller,UNKNOWN,PostBookmark,KEEP_COMPATIBLE,CONFIRMED,none
feeling_activities,lib/features/posts/data/datasources/feeling_activity_remote_ds.dart:45,GET,/api/v1/feeling-activities,none,none,none,200,list,none,unknown,none,no,no,modules/feeling-activities/feeling_activities.routes.ts,unknown,UNKNOWN,FeelingActivity,KEEP_COMPATIBLE,CONFIRMED,"List-only endpoint on both sides"
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:32,GET,/api/v1/common/animal-types,none,none,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,AnimalType,KEEP_COMPATIBLE,CONFIRMED,none
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:40,GET,/api/v1/common/breeds/{typeId},typeId,none,none,200,list,none,unknown,none,no,no,modules/common/common.routes.ts,common.controller,UNKNOWN,Breed,KEEP_COMPATIBLE,CONFIRMED,none
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:52,GET,/api/v1/user/pets/all,none,none,none,200,list,none,required,none,no,no,modules/pets/pets.routes.ts,pets.controller,UNKNOWN,Pet,KEEP_COMPATIBLE,CONFIRMED,"Base path resolves via ApiConfig.userApi=/api/v1/user; matches furtail_api's /api/v1/user/pets mount -- verified directly, corrects an earlier /user-api mis-notation"
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:102,POST,/api/v1/user/pets/register,none,none,"pet payload",200,"pet",none,required,n/a,no,no,modules/pets/pets.routes.ts,pets.controller,UNKNOWN,Pet,KEEP_COMPATIBLE,CONFIRMED,none
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:152,PATCH,/api/v1/user/pets/{petId},petId,none,payload,200,"pet",none,required,none,no,no,modules/pets/pets.routes.ts,pets.controller,UNKNOWN,Pet,KEEP_COMPATIBLE,CONFIRMED,none
pets,lib/features/pets/data/datasources/pet_remote_ds.dart:69,POST,/api/v1/media/upload,none,none,"multipart",200,"data.id",none,required,n/a,yes,no,modules/media/media.routes.ts,media.controller,UNKNOWN,Media,KEEP_COMPATIBLE,CONFIRMED,"Pet photo upload via generic media endpoint; uploadPetPhoto() marked deprecated in favor of this"
pet_medical,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"VaccineType;Vaccination;VaccinationReminder;DewormingRecord;MedicalHistory",UNKNOWN,UNKNOWN,"No vaccination/deworming/medical-history call sites confirmed found in lib/features/pets; furtail_api has matching Prisma models. Needs a dedicated follow-up pass of pet_profile_screen.dart before concluding presence or absence"
